,text,sentiment
0,Semoga g omicron ya Tuhan,4
1,"@dinagustavsson Ada delta,omicron ,cacar munyuk,sampe HIV....
SEMUANYA AKIBAT VAX C19...
BERUNTUNG LAH ORANG ORANG YANG TERBEBAS DARI VAX C19......",1
2,"Ayo sukseskan vaksinasi Covid-19 dengan melakukan vaksin dosis lengkap agar terhindar dari penularan Covid-19 yang kini diketahui telah ada varian baru omicron BA.4 dan BA.5. 
#TetapProkesLengkapiVaksin
#IndonesiaSemakinHebat https://t.co/FHc0Of1ftt",5
3,"Agar terhindar dr varian baru omicron BA.4 &amp; BA.5, masyarakat dihimbau melakukan vaksinasi covid-19 scr lengkap. Manfaatnya adalah meningkatkan daya tahan tubuh, mengurangi resiko penularan covid-19 &amp; mencapai herd immunity

#TetapProkesLengkapiVaksin
#IndonesiaSemakinHebat https://t.co/10d2f3RZsI",-4
4,"Ambil baik nya, pas kenapa omicron, pertama bisa buat account tik tok haha Dan tik tok an.. thanks my daughter ..u help me to make tik tok account..#gaptekdotcom.haha#",14
5,"Covid series yg omicron udah lenyap kan ya? Masa ini rasanya kayak omicron gejalanya, sakit nyeri sampe ke tulang2. Panas ga turun2 juga dr td siang, kalo gw tiba2 koit kan gaasik. Takut banget weee",-15
6,@sitajir89 Di india udh ada lagi cacar tomat .. kmarin di eropa lagi rame cacar monyet dsini msh omicron ...trus tiba2 ada cacar nyomet ..bentar lagi cacar tomat dst ... Koq bisa penyakit nyambung terus 🤭,-6
7,"@collegemenfess Gue tinggal sendiri pernah, kena covid omicron gada yg tau, keluarga juga gatau, tapi alhamdulillah sembuh sih wkwkwk 2 minggu di kamar aja, makan pesen ojol, terus gue minta gantungin aja di pintu. Sakit parah jalan sendiri kerumah sakit, sampe di rawat, tetangga gada yg tau-",4
8,Radang tenggorokan si omicron ini ga enak banget 🥹,-8
9,"@tibudiyanto sama nih gw jg minggu kemaren gitu positif, kayaknya omicron",1
10,@bitxt iya. fuck. omicron ya keknya?,-8
11,"memang omicron dan flu biasa itu gak ada bedanya. gue pernah lagi batuk pilek berat, pas diswab hasilnya negatif. walopun gue belom pernah terpapar corona, gue sedikit tau lah perbedaannya.",0
12,"bedanya pas delta, suami gak bergejala. sekarang omicron, dia bergejala dan agak parah. it's not a common flu. it's something else...",-7
13,"Batuk covid sama batuk flu beda banget ternyata
sekarang yang flu produktif sama gak terus menerus batuknya. Coba pas omicron dulu, 1x batuk bisa 1 menit batuknya gak bisa berenti. Mana gak ada dahaknya sama sekali",-17
14,gue jadi takut gue omicron 🥲 gara2 gue wfh gue jadi abai berita dan ga engeh gejala omicron bs batuk aja,-12
15,"Tolong jauhin gua dari org² yg suka pakai WhatsApp GB, delta, Ilegal, dan segala macemnya. Lu pade meresahkan, doain virus kembaran korona ama omicron nyebar di hape lu pade, biar apa bgtuan dah. WhatsApp Android yaa Android aja, gk usah di ubah speek Ip tapi kantong android.",-5
16,"Sejak omicron, sudah jarang yg berjemur.. 
Padahal berjemur banyak bangettt  manfaatnya.. https://t.co/DyzRVCMgL1",3
17,"@nadiyahrahmahh Demam sama batuk ga?
Kalo iya, ada gejala omicron",-4
18,Mungkin kena omicron ? https://t.co/6dRlNwwol7,-4
19,"@youroddeye biasanya yang los covid variant ori, delta, omicron sih kenanya memang sekarang sekarang nad huhuhu cepet sembuh yaaaa mari hibur diri dgn konten💖",10
20,"@convomf KAMPUSKU DAH FIX FULL OFFLINE WAK 😩😩😩
mana kemarin pas omicron jadi kota paling tinggi kedua se-indo, trus ini ntar apa kabar https://t.co/AT5EQFComV",2
21,@IamKhairil Setahun gak la. Kira cam dia update firmware dari variant delta ke omicron. Hahaha,-2
22,"Terinfeksi omicron, kebanyakan orang tak mengembangkan gejala atau bergejala ringan. https://t.co/WMBN9WSkEp",1
23,duh yaAllah plis bgt ini mah jgn sampe kena. cacar biasa aja lebih gaenak drpd kena omicron kmrn apalagi ini. nauzhubillah y jauh2. bekasnya itu loh. https://t.co/RHJewJHP3e,-10
24,"@__nisrinafsh @catuaries Pas ganas-ganasnya omicron, saya yg rajin double masker pun kena 😅",-6
25,"@kominfodiy @lawancovid19_id @humas_jogja @JogjaMam @jitvofficial @KemenkesRI Indonesia kapan yaaaa ?
Ponakan eike dokter di norway aja bilang omicron yg dikabarkan menakutkan itu katanya hanya flu biasa.
JUSTRU LEBIH BERBAHAYA #TBC https://t.co/SiMNJXPz8l",-12
26,@the_omicron Emang komedi ni kementrian mau mentrinya siapa juga sama aja.,3
27,@M45Broo_ Lagi di isolasi karena kena omicron 😀😀,-3
28,"Vaksin booster &amp; penerapan Prokes adalah dua kunci tak terpisahkan dan saling melengkapi dlm menghadapi munculnya covid-19 varian baru yaitu omicron BA.4 &amp; BA.5.  Jadi masyarakat dihimbau segera melengkapi vaksinasi hingga booster.

#ProkesBoosterHarusSejalan
Senin Chico https://t.co/Mhouy4zWji",17
29,"Jadi inget awal tahun gue capek kuliah sama ngurus go minta libur sama Allah dikabulin dengan cara gue kena omicron :))) 

Sekarang gue mau libur go dikasih flu sama demam :)",14
30,"@Boir_inNusa @fadelhrhp Pejuang omicron,cepet sembuh bo",10
31,"Vaksinasi adalah kunci utama melindungi diri sendiri dan orang-orang yang terdelat dari bahaya covid 19 varian omicron ba. Dan ba.5
#DOBTingkatkanKesejahteraan #PapuaIndonesia https://t.co/srM5Y5i0jS",3
32,"Ini tahun ke tiga covidiyah, meski difitnah menularkan virus &amp; disulitkan kebijakan krn tdk mengambil suntikan tdk perlu, buktinya jutaan dr kami msh hidup, sehat, serta tdk mengenal delta &amp; omicron, bgimn nasib mrk yg dipaksa disuntik lalu mengenal Delta, Omicron &amp; Monyet Pox 🤣 https://t.co/NOrW5ux3r2",-14
33,"@fadelhrhp Lah sama,, gw panas dalem sampe radang, badan ngilu2, mulut kering begitu dahhhh.. kwkwkkkw welcome omicron",-9
34,alpha beta gamma delta epsilon zeta eta theta lota kappa lambda mu nu xi omicron pi rho sigma tau upsilon phi chi psi omega,-3
35,"Gak ngerti sama tempat kerja gue, disini terus recruiting orang2 baru. Padahal karyawan lama masih pada dirumahkan gara2 omicron kemaren. Kenapa gak manggil karyawan lama aja sih",5
